,d,svr,en,rfr
114,928,-10092.669145692913,-6707.825544548453,-10118.31074520088
115,932,-9692.786897684686,-6654.849072485993,-9721.445322174011
116,929,-9984.892045838078,-6691.450398620662,-10001.725957029495
117,930,-9889.158080405668,-6679.438947282129,-9915.04218030014
118,934,-9509.317862653977,-6628.635751952475,-9530.344265888845
119,933,-9601.00852787814,-6640.411514509198,-9630.376004285963
120,940,-9017.003531180391,-6560.668904509029,-9052.682568896022
121,936,-9350.677879987645,-6609.668914079992,-9394.388764636806
122,941,-8942.237191796406,-6551.298789693554,-8968.845641047268
123,950,-8267.93832420732,-6497.7456653541585,-8306.999253767754
124,942,-8850.391072111936,-6539.520715992738,-8877.18819775747
125,947,-8499.067325584681,-6515.8063761434805,-8501.142013935865
126,937,-9270.962646027256,-6599.160972854876,-9293.478084489692
127,943,-8780.201399074102,-6532.86334883737,-8824.4695972652
128,945,-8647.446136517132,-6527.157578134933,-8684.437236032216
129,938,-9182.004459414125,-6584.313095923638,-9219.344977130542
130,946,-8576.992783354048,-6522.37066222919,-8586.720959991242
131,953,-8052.463490711897,-6474.64979329189,-8078.775972872412
132,939,-9095.999293713468,-6571.654827984026,-9130.877677860426
133,944,-8707.199796596276,-6529.206041040686,-8753.871032731191
134,931,-9788.15385815372,-6666.367828567139,-9815.14175576399
135,952,-8129.829301546232,-6483.913338803572,-8196.523944018027
136,906,-13107.185717993554,-6999.361639207209,-13070.657184257827
137,917,-11603.17641952743,-6897.662442441217,-11618.751642528418
138,909,-12742.441163796953,-6993.154805477396,-12716.325698556815
139,956,-7810.831883357252,-6440.47043001272,-7816.5500313140965
140,954,-7963.0501518278925,-6461.021743869703,-8007.044567107242
141,923,-10745.806825860664,-6798.475256137977,-10756.821502493824
142,886,-15322.588236985124,-6892.285808691868,-15338.20706891334
143,876,-16339.970442127418,-6620.540862811227,-16516.69899951008
144,959,-7570.699943879878,-6405.612596818055,-7607.9865966835905
145,955,-7879.800870724671,-6449.181069076454,-7910.968656639532
146,903,-13409.115669065326,-6997.175012425005,-13399.736811445428
147,834,-16304.159998780184,-5330.661031214873,-17437.51233301941
148,964,-7176.198032411992,-6343.283882098067,-7165.049597094988
149,935,-9429.62033825592,-6617.9012216274905,-9472.093902617831
150,962,-7297.778224596958,-6362.598536027983,-7301.487762627493
151,961,-7384.548391158144,-6375.048030963056,-7413.200845420764
152,870,-16403.4223255992,-6430.515493174942,-17029.933116194417
153,957,-7725.962527380247,-6429.3435781125245,-7740.4496809576685
154,966,-7071.244344028183,-6333.064679536434,-7066.926716841823
155,968,-6937.263949905646,-6316.281511954439,-6918.174393748051
156,979,-6380.533846123904,-6245.571882910997,-6400.697116941839
157,973,-6667.129588335141,-6283.130419071537,-6699.31435307585
158,978,-6412.718457527362,-6247.571006492573,-6470.893187093209
159,974,-6619.199374425032,-6275.078289902936,-6614.661345886598
160,970,-6830.676099965034,-6303.293093923427,-6848.12582230368
161,977,-6457.41791948949,-6251.460312414125,-6478.634469880038
162,982,-6243.777305220272,-6230.775781442684,-6309.627995157831
163,967,-6990.3516692407875,-6323.95536882505,-6997.493261201773
164,975,-6556.527685406512,-6266.796641359291,-6572.4374606987385
165,976,-6506.8806927435835,-6258.380797510083,-6579.489258549833
166,969,-6893.6737227666235,-6311.3422246328855,-6925.374326429065
167,821,-16096.29689194573,-4891.179658665071,-17192.66266434318
168,987,-6035.781764570682,-6222.19284848457,-6114.589631381681
169,993,-5816.810585246643,-6199.385859524318,-5846.434143210051
170,991,-5912.808589614818,-6213.471199906591,-5980.341443944506
171,983,-6185.099264981389,-6224.081109726334,-6239.130452191712
172,992,-5859.817974516338,-6205.008284444342,-5897.492047827227
173,965,-7121.033656214875,-6339.035052394833,-7121.707668900868
174,989,-5980.667966074255,-6223.610332214773,-6053.213986453262
175,996,-5669.945497147849,-6178.615266504163,-5710.058627589671
176,997,-5611.453885839567,-6169.834804184419,-5668.412176840953
177,995,-5717.10891804277,-6184.094797044965,-5770.543891983261
178,1000,-5478.15543469912,-6152.715330479454,-5502.280685654276
179,981,-6311.859615249754,-6239.083106475333,-6374.587618537898
180,984,-6138.660531077609,-6220.648485470347,-6205.426243089383
181,1001,-5434.481747386401,-6150.3112203162,-5464.897330494285
182,1002,-5390.079259093045,-6144.014180969149,-5412.241243104971
183,986,-6075.1582944525,-6221.0696172237185,-6169.26533235346
184,1005,-5282.105775416612,-6132.986663757103,-5298.097865889273
185,1004,-5318.275465277513,-6134.033387076473,-5348.0069369571875
186,1010,-5103.630008606089,-6115.236114644756,-5135.519782409336
187,1011,-5065.494110804826,-6109.780943876831,-5073.111968002859
188,998,-5552.881720823909,-6161.719968083278,-5577.935005351301
189,988,-6010.046634036968,-6222.457477336295,-6069.70408503043
190,1009,-5134.110696965822,-6116.716436593953,-5178.802965271757
191,999,-5517.408990030781,-6156.5965916348,-5511.020245180749
192,1007,-5206.868420986775,-6124.397620707227,-5208.900454151312
193,1013,-4991.285340750056,-6099.529523144374,-5052.790457651845
194,1015,-4939.829138761286,-6089.769631927162,-4940.798318519177
195,905,-13219.566608894533,-7000.605631592389,-13198.089510454452
196,924,-10604.750175371199,-6778.253160311164,-10625.505983680781
197,985,-6111.588308977243,-6221.4228189257465,-6192.807426999647
198,1018,-4896.233391110633,-6088.095028197162,-4910.796109724548
199,879,-16129.504466948192,-6714.796766635144,-16211.600533854164
200,1019,-4877.900481433542,-6088.90718670503,-4921.514435624095
201,1014,-4958.365220440746,-6094.926145911785,-4997.28745660367
202,971,-6785.9145639106355,-6294.4819709838775,-6775.882728933636
203,882,-15846.993769255003,-6801.718048794208,-15857.734136833968
204,1016,-4923.859091297871,-6089.387113043893,-4947.37594703625
205,994,-5762.289002697756,-6190.339046899619,-5788.005904188052
206,1003,-5349.024378421455,-6139.44587608158,-5375.494051125612
207,1023,-4798.904581909512,-6083.4164065364885,-4897.6033112444375
208,1017,-4904.645685846871,-6089.814591901582,-4928.769605663902
209,1027,-4696.047660229899,-6069.194479105757,-4683.275053779239
210,1028,-4682.776967845244,-6068.593383407769,-4712.470817479878
211,1030,-4663.639043903184,-6072.636991672934,-4711.826351194239
212,1031,-4642.417757389008,-6073.422946365603,-4660.086416307513
213,1021,-4844.742594806088,-6088.980710804546,-4901.467047679773
214,1035,-4518.168457555352,-6060.448244485016,-4498.638087258014
215,1033,-4585.087366573667,-6070.306132844593,-4602.935350023217
216,1036,-4472.475435564142,-6055.212794439751,-4492.0310909561085
217,1037,-4433.370237126163,-6051.992880766053,-4434.660184079548
218,1032,-4623.23630894004,-6073.1090869795335,-4575.24830928888
219,1026,-4714.59264932642,-6070.959251572756,-4704.755551058748
220,1029,-4668.95439144306,-6069.097287107694,-4717.619147257299
221,1039,-4353.438797872721,-6044.087552509001,-4338.979392056697
222,1022,-4816.729679174667,-6085.75991827968,-4852.754290791601
223,1012,-5024.483794347696,-6103.450321121985,-5041.783752850233
224,1044,-4312.364095550155,-6067.327057442406,-4181.088733905425
225,1041,-4310.471405901514,-6047.532933195478,-4215.337867288379
226,1034,-4558.506321004212,-6065.683702776534,-4508.251453327621
227,1042,-4310.852239639835,-6052.236551009377,-4231.718586903741
228,881,-15953.329465496854,-6774.018989193456,-15992.353156418603
229,890,-14798.58499217744,-6939.36091751731,-14809.651939949139
230,922,-10890.213356365823,-6818.441383688102,-10925.084812734065
231,1008,-5166.337836770334,-6119.889470877394,-5215.50071726795
232,898,-13900.945500325459,-6991.408499912319,-13873.849883051971
233,1045,-4314.991022664718,-6075.211953462005,-4178.185614439075
234,1047,-4302.727831572116,-6094.525976591009,-4189.356855733158
235,1046,-4305.660020532885,-6082.8034756264115,-4210.839403241663
236,1043,-4310.246970238485,-6061.277224914561,-4188.787060886593
237,1049,-4312.307413156851,-6110.131339704007,-4190.120265750912
238,918,-11460.88094435361,-6881.968519632757,-11492.059874535582
239,958,-7649.778702158572,-6419.076095862434,-7668.242987778249
240,949,-8347.359396893715,-6505.331271033517,-8376.081583018695
241,799,-15737.527572342644,-4126.191730881258,-17003.477385852555
242,1025,-4728.06709549682,-6072.242727427931,-4760.404255555307
243,1053,-4333.047502839248,-6152.217707707985,-4132.905997303784
244,1052,-4320.368000171884,-6143.093908411154,-4150.7014644183255
245,1057,-4364.425773946643,-6193.752496781001,-4169.261323450562
246,880,-16068.672298123838,-6745.149337315084,-16097.18425463045
247,1062,-4403.410998711137,-6247.733121574058,-4219.500766754408
